val_loss,val_accuracy,loss,accuracy
89224394.7008,0.1289999932050705,89496850.5472,0.11388333
88453283.264,0.15230000019073486,88672465.33973333,0.14066666
87610366.7072,0.17309999465942383,87845115.2,0.16265
86728813.3888,0.1965000033378601,86952527.72693333,0.18605
85733835.6992,0.2168000042438507,86007177.82186666,0.20691666
84772609.9584,0.22349999845027924,84979216.72106667,0.2235
83622768.3584,0.2393999993801117,83932549.4656,0.23196666
82397870.016,0.2565999925136566,82767341.10293333,0.24971667
81092905.2288,0.274399995803833,81508767.9872,0.2683
79663459.0208,0.29170000553131104,80170639.75253333,0.2868
78188575.0272,0.31139999628067017,78746336.1664,0.30541667
76697933.5936,0.3249000012874603,77281714.09066667,0.32198334
75187472.8448,0.33809998631477356,75805991.70133333,0.33603334
73681799.1424,0.3456999957561493,74303448.8192,0.34608334
72217118.0544,0.35280001163482666,72835750.74986666,0.35443333
70794543.6672,0.35910001397132874,71410323.42613333,0.3614
69431085.6448,0.36550000309944153,70039922.29333334,0.36698332
68131213.5296,0.37290000915527344,68733549.6704,0.37228334
66887127.616,0.37940001487731934,67482058.22293334,0.37788334
65664228.6976,0.38960000872612,66266193.7664,0.38626668
64445756.0768,0.4083999991416931,65073643.451733336,0.40065
63220723.5392,0.4392000138759613,63878257.78346667,0.42408332
61980815.648,0.4661000072956085,62679407.2064,0.45388332
60701919.3088,0.49540001153945923,61442552.12586667,0.48291665
59409658.6752,0.5105999708175659,60186180.6848,0.5015333
58121829.3376,0.5153999924659729,58923145.23946667,0.5101333
56865349.4336,0.5178999900817871,57693943.921066664,0.51481664
55670591.0016,0.5196999907493591,56508175.684266664,0.5168833
54554541.9392,0.5235999822616577,55393150.4128,0.5189833
53510097.3376,0.527999997138977,54337617.408,0.52236664
52530251.328,0.5310999751091003,53343219.58186667,0.52695
51588591.5392,0.5371999740600586,52388175.26613333,0.53103334
50678826.2144,0.5424000024795532,51467557.627733335,0.53636664
49774111.3984,0.5501999855041504,50566267.136,0.54255
48864162.7712,0.5584999918937683,49653188.83626667,0.55071664
47931324.5824,0.567799985408783,48727186.048,0.5595833
46966339.8016,0.5791000127792358,47760992.87893333,0.5700667
46008510.2336,0.5911999940872192,46785341.3696,0.5838
45060334.9952,0.6051999926567078,45812193.89226667,0.5973333
44145092.4992,0.6166999936103821,44869066.9568,0.60873336
43278771.136,0.6276999711990356,43961380.669866666,0.61935
42461472.5376,0.6337000131607056,43118630.5792,0.6286833
41688492.288,0.6407999992370605,42316468.740266666,0.63561666
40947520.1152,0.6462000012397766,41554144.57173333,0.64276665
40240486.256,0.6521000266075134,40825746.6688,0.64853334
39569639.0752,0.6565999984741211,40123781.15733334,0.6544
38886064.3392,0.661899983882904,39458295.33653333,0.65958333
38282153.7472,0.6671000123023987,38811266.62826667,0.6644833
37708333.92,0.6700999736785889,38222184.87253334,0.6688167
37160987.8368,0.6758999824523926,37659951.81866667,0.67335
36641522.4064,0.680400013923645,37132485.36106667,0.6771333
36150924.8288,0.6832000017166138,36629757.27573334,0.68095
35689047.008,0.6862999796867371,36163410.45973333,0.6845667
35247420.6304,0.6902999877929688,35720540.72426666,0.6874167
34842953.0304,0.6930999755859375,35307253.925333336,0.69058335
34450137.8304,0.6948000192642212,34915972.86186667,0.69348335
34080592.912,0.6977999806404114,34541041.792,0.69558334
33726571.6896,0.6995999813079834,34189721.52426667,0.69815
33394084.4224,0.7010999917984009,33851410.737066664,0.70053333
33079302.1888,0.7031999826431274,33533353.617066666,0.70245
32787029.9776,0.705299973487854,33237372.469333332,0.70435
32514449.2864,0.7062000036239624,32955791.072,0.70595
32249920.1504,0.7081999778747559,32689390.622933332,0.70788336
32000493.6832,0.7103999853134155,32434883.6352,0.7093667
31766518.8864,0.7127000093460083,32190847.6224,0.71068335
31534550.7072,0.7138000130653381,31960207.6288,0.71206665
31318641.2384,0.714900016784668,31737860.391466666,0.7135
31111585.152,0.7161999940872192,31525701.776,0.7148167
30916633.9168,0.7179999947547913,31323984.8352,0.71595
