val_loss,val_accuracy,loss,accuracy
33439740.1856,0.670199990272522,43165732.12906667,0.58915
32356121.584,0.6789000034332275,32879010.4576,0.67513335
23178055.7184,0.7723000049591064,23947908.5808,0.7647667
22309023.0848,0.779699981212616,22306611.565866668,0.7796
21957463.5904,0.7825000286102295,21942216.763733335,0.7827333
21788065.1424,0.7836999893188477,21738109.30026667,0.78456664
21669690.4896,0.784600019454956,21573490.85333333,0.78595
21479923.9168,0.7864999771118164,21468029.571733333,0.78681666
21619166.848,0.785099983215332,21346652.084266666,0.7880333
21427234.2144,0.7868000268936157,21260798.5216,0.78893334
21420673.5808,0.7871000170707703,21203491.81546667,0.78938335
21485408.9536,0.7857999801635742,21157409.479466666,0.78966665
21320859.3824,0.788100004196167,21108510.7296,0.7903
21274246.992,0.7882000207901001,21052074.7744,0.79065
21374178.1248,0.7870000004768372,21017706.529066667,0.79105
21379031.168,0.7874000072479248,20976532.738133334,0.79125
21343165.7344,0.7876999974250793,20952228.990933333,0.7916833
