val_loss,val_accuracy,loss,accuracy
0.3570243630647659,0.9083999991416931,0.8388675349076589,0.76805
0.22810676423311232,0.9453999996185303,0.2860305568297704,0.9313
0.18303087391853332,0.9580000042915344,0.21753589392503103,0.95035
0.1695494356751442,0.9634000062942505,0.18221226673920948,0.96003336
0.14762929425835608,0.9692999720573425,0.16230315142472584,0.9655667
0.14119399119019507,0.9703999757766724,0.1482130622148514,0.9695
0.12768439298272133,0.9746999740600586,0.1378025389313698,0.9731
0.12073826069831849,0.977400004863739,0.13047701056003572,0.9752333
0.11463024125695229,0.9793999791145325,0.12283227936029434,0.97761667
0.11169836877584458,0.9789999723434448,0.11764087453683217,0.97895
0.11580079388022423,0.9776999950408936,0.11338137804667155,0.98031664
0.11355030312538147,0.9769999980926514,0.10901272219816843,0.98178333
0.11770779325366021,0.9775000214576721,0.10588754055500031,0.98275
